round,clients,prompts_per_100,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,ece,brier_score,calibration_available
1,150,30.017351069982652,0.0931174089068826,0.11192865105908585,0.07427838827838829,0.01814843794022483,0.2565569441999648,0.0931174089068826,0.023695637261168516,0.006027849622721487,0.9224713587318595,True
2,150,30.017351069982652,0.11220358588779641,0.10538973124112444,0.07829304029304031,0.02384365826700785,0.24202738130553025,0.11220358588779641,0.04574404308183571,0.023679447159421045,0.918866465834333,True
3,150,30.017351069982652,0.17524580682475419,0.10286233137322726,0.08095970695970695,0.039238740582806506,0.23484424648882402,0.17524580682475419,0.09104825315702572,0.08377014546552237,0.9145640225335153,True
4,150,30.017351069982652,0.21862348178137653,0.02406673445249113,0.07847619047619046,0.03074126742167705,0.05734153399310357,0.21862348178137653,0.08245097895177343,0.12042330801400786,0.9094220279102224,True
5,150,30.017351069982652,0.21688837478311163,0.016683721137162433,0.07692307692307693,0.027420298332845865,0.04704056711605949,0.21688837478311163,0.07731287123922705,0.12304821426017633,0.9032500432768533,True
6,150,30.017351069982652,0.21688837478311163,0.016683721137162433,0.07692307692307693,0.027420298332845865,0.04704056711605949,0.21688837478311163,0.07731287123922705,0.09633806339659533,0.8960673042684735,True
7,150,30.017351069982652,0.21688837478311163,0.016683721137162433,0.07692307692307693,0.027420298332845865,0.04704056711605949,0.21688837478311163,0.07731287123922705,0.07984780982145345,0.8883396816052785,True
8,150,30.017351069982652,0.21688837478311163,0.016683721137162433,0.07692307692307693,0.027420298332845865,0.04704056711605949,0.21688837478311163,0.07731287123922705,0.0613608169307455,0.8809955660029755,True
9,150,30.017351069982652,0.21688837478311163,0.016683721137162433,0.07692307692307693,0.027420298332845865,0.04704056711605949,0.21688837478311163,0.07731287123922705,0.041369307508283854,0.8748153641469368,True
10,150,30.017351069982652,0.21688837478311163,0.016683721137162433,0.07692307692307693,0.027420298332845865,0.04704056711605949,0.21688837478311163,0.07731287123922705,0.04104621132255082,0.8703973192717785,True
